idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_prod,4,77,Cannot be determined without specialized algorithms,0,42,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_f8ajm5we/main.py"", line 12, in <module>\n    output = f(profit=[3, 11, 6], consumption=[[1, 2, 4], [4, 1, 1], [4, 1, 1]], capacity=[15, 8, 16], upper_bounds=[3, 7, 3])\n  File ""/tmp/cot_exec_f8ajm5we/main.py"", line 4, in f\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, upBound=upper_bounds, cat=LpInteger)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 461, in dicts\n    d[i] = LpVariable(\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 296, in __init__\n    if not math.isfinite(self.upBound):\nTypeError: must be real number, not list\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.5009803771972656}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 11, 6]
consumption (rows=resources) = [[1, 2, 4], [4, 1, 1], [4, 1, 1]]
capacity = [15, 8, 16]
upper_bounds = [3, 7, 3]"
1,rod,16,640,,0,41,0,"{'ok': True, 'value': 640, 'stdout': '640\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10425925254821777}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [40, 38, 47, 45, 48, 5, 32, 48, 16, 41, 42, 19, 41, 2, 27, 47]"
2,add,16,7374039207952083,7370435312,0,7374039207952083,1,"{'ok': True, 'value': 7374039207952083, 'stdout': '7374039207952083\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09096384048461914}",1,Compute: 4050461164153567 + 3323578043798516
3,lcs,8,5,5,1,-1,0,"{'ok': True, 'value': 5, 'stdout': '5\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09166860580444336}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""accbdcba""
T = ""abdbadbca"""
4,ilp_prod,32,537,Cannot be determined without a linear programming solver.,0,1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_h7b0e45u/main.py"", line 12, in <module>\n    output = f(profit=[28, 67, 75, 87, 42, 57], consumption=[[21, 1, 2, 20, 15, 6], [15, 18, 22, 18, 25, 2], [8, 22, 23, 9, 8, 17], [10, 3, 23, 5, 6, 7]], capacity=[102, 104, 95, 98], upper_bounds=[4, 4, 4, 5, 4, 5])\n  File ""/tmp/cot_exec_h7b0e45u/main.py"", line 5, in f\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, upBound=upper_bounds, cat=LpInteger)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 461, in dicts\n    d[i] = LpVariable(\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 296, in __init__\n    if not math.isfinite(self.upBound):\nTypeError: must be real number, not list\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.16799545288085938}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [28, 67, 75, 87, 42, 57]
consumption (rows=resources) = [[21, 1, 2, 20, 15, 6], [15, 18, 22, 18, 25, 2], [8, 22, 23, 9, 8, 17], [10, 3, 23, 5, 6, 7]]
capacity = [102, 104, 95, 98]
upper_bounds = [4, 4, 4, 5, 4, 5]"
5,knap,16,391,,0,0,0,"{'ok': True, 'value': 391, 'stdout': '391\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09533238410949707}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [8, 28, 27, 8, 19, 18, 16, 25, 1, 13, 29, 2, 2, 16, 17, 14]
V = [23, 37, 19, 26, 35, 40, 33, 58, 22, 46, 63, 54, 16, 27, 50, 27]
C = 121"
6,ilp_assign,16,47,Cannot be determined without algorithm execution,0,7,0,"{'ok': True, 'value': 0, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/3fb931b55c634a4bb1371a8cea4d874b-pulp.mps -timeMode elapsed -branch -printingOptions all -solution /tmp/3fb931b55c634a4bb1371a8cea4d874b-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 12 COLUMNS\nAt line 167 RHS\nAt line 175 BOUNDS\nAt line 225 ENDATA\nProblem MODEL has 7 rows, 49 columns and 49 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nContinuous objective value is 0 - 0.00 seconds\nCgl0004I processed model has 0 rows, 0 columns (0 integer (0 of which binary)) and 0 elements\nCbc3007W No integer variables - nothing to do\nCuts at root node changed objective from 0 to -1.79769e+308\nProbing was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nGomory was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nKnapsack was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nClique was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nMixedIntegerRounding2 was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nFlowCover was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nTwoMirCuts was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nZeroHalf was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\n\nResult - Optimal solution found\n\nObjective value:                0.00000000\nEnumerated nodes:               0\nTotal iterations:               0\nTime (CPU seconds):             0.00\nTime (Wallclock seconds):       0.00\n\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\n0\n', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1865: UserWarning: Overwriting previously set objective.\n  warnings.warn(""Overwriting previously set objective."")\n', 'retcode': 0, 'timeout': False, 'duration_s': 0.19528603553771973}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[12, 7, 15, 26, 15, 32, 29], [25, 11, 15, 16, 19, 30, 36], [38, 25, 14, 29, 46, 17, 22], [32, 38, 8, 14, 6, 3, 1], [1, 31, 21, 25, 38, 19, 13], [26, 11, 42, 10, 2, 1, 25], [10, 43, 35, 4, 37, 25, 17]]"
7,sub,4,2977,2977,1,2977,1,"{'ok': True, 'value': 2977, 'stdout': '2977\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09744977951049805}",1,Compute: 9991 - 7014
8,rod,32,848,,0,20,0,"{'ok': True, 'value': 848, 'stdout': '848\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08945226669311523}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 32
P = [25, 53, 72, 81, 77, 8, 69, 78, 66, 20, 53, 35, 36, 62, 90, 40, 35, 63, 28, 64, 48, 77, 61, 31, 44, 23, 78, 24, 95, 75, 89, 58]"
9,knap,8,68,60,0,0,0,"{'ok': True, 'value': 68, 'stdout': '68\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1184391975402832}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [5, 11, 14, 7, 9, 4, 13, 12]
V = [32, 16, 5, 3, 6, 9, 11, 11]
C = 37"
