idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_prod,4,77,,0,48,0,"{'ok': True, 'value': 77, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/07534c749947418984bb2f828521eb34-pulp.mps -max -timeMode elapsed -branch -printingOptions all -solution /tmp/07534c749947418984bb2f828521eb34-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 8 COLUMNS\nAt line 27 RHS\nAt line 31 BOUNDS\nAt line 35 ENDATA\nProblem MODEL has 3 rows, 3 columns and 9 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nContinuous objective value is 82.5 - 0.00 seconds\nCgl0004I processed model has 2 rows, 3 columns (3 integer (0 of which binary)) and 6 elements\nCutoff increment increased from 1e-05 to 0.9999\nCbc0012I Integer solution of -77 found by DiveCoefficient after 0 iterations and 0 nodes (0.00 seconds)\nCbc0001I Search completed - best objective -77, took 0 iterations and 0 nodes (0.00 seconds)\nCbc0035I Maximum depth 0, 0 variables fixed on reduced cost\nCuts at root node changed objective from -78.8 to -77\nProbing was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nGomory was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nKnapsack was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nClique was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nMixedIntegerRounding2 was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nFlowCover was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nTwoMirCuts was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nZeroHalf was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\n\nResult - Optimal solution found\n\nObjective value:                77.00000000\nEnumerated nodes:               0\nTotal iterations:               0\nTime (CPU seconds):             0.00\nTime (Wallclock seconds):       0.00\n\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\nStatus: Optimal\n77\n', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\n', 'retcode': 0, 'timeout': False, 'duration_s': 0.3439805507659912}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 11, 6]
consumption (rows=resources) = [[1, 2, 4], [4, 1, 1], [4, 1, 1]]
capacity = [15, 8, 16]
upper_bounds = [3, 7, 3]"
1,rod,16,640,16,0,4,0,"{'ok': True, 'value': 640, 'stdout': '640\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09105563163757324}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [40, 38, 47, 45, 48, 5, 32, 48, 16, 41, 42, 19, 41, 2, 27, 47]"
2,add,16,7374039207952083,7378313885648333,0,7374039207952083,1,"{'ok': True, 'value': 7374039207952083, 'stdout': '7374039207952083\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09352803230285645}",1,Compute: 4050461164153567 + 3323578043798516
3,lcs,8,5,,0,0,0,"{'ok': True, 'value': 5, 'stdout': '5\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10962963104248047}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""accbdcba""
T = ""abdbadbca"""
4,ilp_prod,32,537,,0,490,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_e9mtpvhv/main.py"", line 17, in <module>\n    output = f(profit, consumption, capacity, upper_bounds)\n  File ""/tmp/cot_exec_e9mtpvhv/main.py"", line 5, in f\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, upBound=upper_bounds)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 461, in dicts\n    d[i] = LpVariable(\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 296, in __init__\n    if not math.isfinite(self.upBound):\nTypeError: must be real number, not list\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.17674827575683594}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [28, 67, 75, 87, 42, 57]
consumption (rows=resources) = [[21, 1, 2, 20, 15, 6], [15, 18, 22, 18, 25, 2], [8, 22, 23, 9, 8, 17], [10, 3, 23, 5, 6, 7]]
capacity = [102, 104, 95, 98]
upper_bounds = [4, 4, 4, 5, 4, 5]"
5,knap,16,391,,0,0,0,"{'ok': True, 'value': 391, 'stdout': '391\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.13205456733703613}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [8, 28, 27, 8, 19, 18, 16, 25, 1, 13, 29, 2, 2, 16, 17, 14]
V = [23, 37, 19, 26, 35, 40, 33, 58, 22, 46, 63, 54, 16, 27, 50, 27]
C = 121"
6,ilp_assign,16,47,Cannot be determined manually,0,2,0,"{'ok': True, 'value': 47, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/2c23042b102c460aa4403679db3e6bcc-pulp.mps -timeMode elapsed -branch -printingOptions all -solution /tmp/2c23042b102c460aa4403679db3e6bcc-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 19 COLUMNS\nAt line 265 RHS\nAt line 280 BOUNDS\nAt line 330 ENDATA\nProblem MODEL has 14 rows, 49 columns and 98 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nContinuous objective value is 47 - 0.00 seconds\nCgl0004I processed model has 14 rows, 49 columns (49 integer (49 of which binary)) and 98 elements\nCutoff increment increased from 1e-05 to 0.9999\nCbc0038I Initial state - 0 integers unsatisfied sum - 0\nCbc0038I Solution found of 47\nCbc0038I Before mini branch and bound, 49 integers at bound fixed and 0 continuous\nCbc0038I Mini branch and bound did not improve solution (0.00 seconds)\nCbc0038I After 0.00 seconds - Feasibility pump exiting with objective of 47 - took 0.00 seconds\nCbc0012I Integer solution of 47 found by feasibility pump after 0 iterations and 0 nodes (0.00 seconds)\nCbc0001I Search completed - best objective 47, took 0 iterations and 0 nodes (0.00 seconds)\nCbc0035I Maximum depth 0, 0 variables fixed on reduced cost\nCuts at root node changed objective from 47 to 47\nProbing was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nGomory was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nKnapsack was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nClique was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nMixedIntegerRounding2 was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nFlowCover was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nTwoMirCuts was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nZeroHalf was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\n\nResult - Optimal solution found\n\nObjective value:                47.00000000\nEnumerated nodes:               0\nTotal iterations:               0\nTime (CPU seconds):             0.00\nTime (Wallclock seconds):       0.00\n\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\n47\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.20024633407592773}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[12, 7, 15, 26, 15, 32, 29], [25, 11, 15, 16, 19, 30, 36], [38, 25, 14, 29, 46, 17, 22], [32, 38, 8, 14, 6, 3, 1], [1, 31, 21, 25, 38, 19, 13], [26, 11, 42, 10, 2, 1, 25], [10, 43, 35, 4, 37, 25, 17]]"
7,sub,4,2977,2977,1,2977,1,"{'ok': True, 'value': 2977, 'stdout': '2977\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10743331909179688}",1,Compute: 9991 - 7014
8,rod,32,848,The answer cannot be determined without implementing the algorithm.,0,225,0,"{'ok': True, 'value': 848, 'stdout': '848\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09278082847595215}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 32
P = [25, 53, 72, 81, 77, 8, 69, 78, 66, 20, 53, 35, 36, 62, 90, 40, 35, 63, 28, 64, 48, 77, 61, 31, 44, 23, 78, 24, 95, 75, 89, 58]"
9,knap,8,68,,0,0,0,"{'ok': True, 'value': 68, 'stdout': '68\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09660792350769043}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [5, 11, 14, 7, 9, 4, 13, 12]
V = [32, 16, 5, 3, 6, 9, 11, 11]
C = 37"
