idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,rod,16,352,352,1,103,0,"{'ok': True, 'value': 352, 'stdout': '352\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.14664673805236816}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [22, 37, 4, 6, 33, 34, 17, 9, 17, 22, 28, 8, 48, 26, 45, 1]"
1,sub,4,2175,2175,1,2175,1,"{'ok': True, 'value': 2175, 'stdout': '2175\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09024786949157715}",1,Compute: 9905 - 7730
2,ilp_partition,4,6,6,1,6,1,"{'ok': True, 'value': 6, 'stdout': '6\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08977603912353516}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [11, 11, 5, 11]"
3,ilp_assign,16,105,0,0,77,0,"{'ok': True, 'value': 105, 'stdout': '105\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 1.7243175506591797}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[13, 30, 2, 21, 25, 8, 44], [26, 12, 25, 40, 47, 35, 48], [28, 20, 12, 27, 36, 18, 42], [34, 8, 27, 48, 47, 6, 23], [41, 1, 35, 31, 19, 47, 25], [37, 29, 41, 32, 23, 31, 33], [33, 16, 2, 24, 15, 16, 20]]"
4,add,16,7710349994693310,350,0,7710350094693310,0,"{'ok': True, 'value': 7710349994693310, 'stdout': '7710349994693310\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07799434661865234}",1,Compute: 1550168928425851 + 6160181066267459
5,sub,4,553,553,1,553,1,"{'ok': True, 'value': 553, 'stdout': '553\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07786345481872559}",1,Compute: 3573 - 3020
6,sub,16,2793905415068721,2793905415068721,1,2793905415068721,1,"{'ok': True, 'value': 2793905415068721, 'stdout': '2793905415068721\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10959601402282715}",1,Compute: 8928991557295045 - 6135086142226324
7,knap,16,420,6,0,334,0,"{'ok': True, 'value': 420, 'stdout': '420\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0789041519165039}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [28, 23, 15, 8, 27, 32, 6, 30, 20, 2, 22, 31, 8, 20, 7, 24]
V = [6, 24, 40, 24, 44, 62, 29, 49, 44, 2, 48, 44, 58, 27, 59, 54]
C = 151"
8,lcs,4,3,3,1,3,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08236813545227051}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""abbd""
T = ""bbbbd"""
9,add,16,17731907340954129,1,0,17732307340954129,0,"{'ok': True, 'value': 17731907340954129, 'stdout': '17731907340954129\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0766303539276123}",1,Compute: 9444754194954687 + 8287153145999442
10,ilp_prod,16,132,4,0,207,0,"{'ok': True, 'value': 132, 'stdout': '132\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09335637092590332}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [22, 30, 42, 3, 34, 16]
consumption (rows=resources) = [[10, 7, 1, 10, 4, 14], [12, 13, 12, 13, 7, 11], [1, 2, 4, 14, 4, 14], [11, 8, 11, 11, 12, 12]]
capacity = [41, 52, 53, 37]
upper_bounds = [3, 4, 3, 3, 3, 3]"
11,rod,2,12,12,1,12,1,"{'ok': True, 'value': 12, 'stdout': '12\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08532571792602539}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [6, 6]"
12,ilp_prod,2,21,21,1,21,1,"{'ok': True, 'value': 21, 'stdout': '21\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08357501029968262}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 6]
consumption (rows=resources) = [[1, 1], [1, 3]]
capacity = [10, 7]
upper_bounds = [7, 3]"
13,lcs,32,19,9,0,17,0,"{'ok': True, 'value': 19, 'stdout': '19\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08011221885681152}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""badcccbdabaadabbdccdccbaccbabccd""
T = ""baabdddadcdabbcdbccddccadacddbb"""
14,sub,8,5338410,5338410,1,5338410,1,"{'ok': True, 'value': 5338410, 'stdout': '5338410\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07837653160095215}",1,Compute: 39120586 - 33782176
15,mul,2,406,406,1,406,1,"{'ok': True, 'value': 406, 'stdout': '406\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0766286849975586}",1,Compute: 29 * 14
16,knap,8,58,1,0,54,0,"{'ok': True, 'value': 58, 'stdout': '58\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07776522636413574}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [9, 9, 13, 6, 8, 4, 6, 16]
V = [16, 1, 15, 10, 10, 10, 12, 5]
C = 35"
17,lcs,8,3,3,1,3,1,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bbadcccb""
T = ""aaaacbbb"""
18,mul,8,3969565102442620,0,0,3971238331300340,0,"{'ok': True, 'value': 3969565102442620, 'stdout': '3969565102442620\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07486176490783691}",1,Compute: 56485532 * 70275785
19,add,4,8809,8809,1,8809,1,"{'ok': True, 'value': 8809, 'stdout': '8809\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08483624458312988}",1,Compute: 2875 + 5934
20,lcs,8,4,,0,5,0,"{'ok': True, 'value': 4, 'stdout': '4\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08879804611206055}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""adbacddd""
T = ""bdbaabdca"""
21,ilp_assign,4,18,18,1,18,1,"{'ok': True, 'value': 18, 'stdout': '18\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11624431610107422}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[1, 8, 10, 2], [5, 9, 8, 9], [11, 7, 8, 5], [3, 4, 9, 6]]"
