kind,digits,N,acc_nl,acc_code,acc_exec
add,2,44,0.954545,1.000000,1.000000
add,4,45,0.688889,0.955556,1.000000
add,8,45,0.644444,0.777778,0.977778
add,16,45,0.044444,0.311111,0.977778
add,32,44,0.045455,0.159091,1.000000
ilp_assign,2,44,0.340909,0.340909,1.000000
ilp_assign,4,45,0.111111,0.022222,1.000000
ilp_assign,8,44,0.022727,0.022727,1.000000
ilp_assign,16,44,0.022727,0.000000,1.000000
ilp_assign,32,44,0.000000,0.000000,1.000000
ilp_partition,2,44,0.318182,0.113636,0.522727
ilp_partition,4,44,0.295455,0.113636,0.386364
ilp_partition,8,46,0.500000,0.108696,0.173913
ilp_partition,16,44,0.454545,0.068182,0.795455
ilp_partition,32,45,0.266667,0.466667,0.888889
ilp_prod,2,44,0.045455,0.113636,0.159091
ilp_prod,4,44,0.068182,0.136364,0.204545
ilp_prod,8,45,0.000000,0.000000,0.222222
ilp_prod,16,45,0.000000,0.000000,0.022222
ilp_prod,32,44,0.000000,0.000000,0.000000
knap,2,45,0.088889,0.000000,1.000000
knap,4,44,0.136364,0.000000,1.000000
knap,8,44,0.045455,0.000000,1.000000
knap,16,44,0.000000,0.000000,1.000000
knap,32,44,0.000000,0.000000,1.000000
lcs,2,44,0.886364,0.590909,1.000000
lcs,4,46,0.456522,0.086957,1.000000
lcs,8,45,0.488889,0.000000,1.000000
lcs,16,45,0.066667,0.022222,1.000000
lcs,32,44,0.022727,0.000000,1.000000
mul,2,44,0.500000,0.500000,1.000000
mul,4,45,0.000000,0.000000,1.000000
mul,8,44,0.000000,0.000000,1.000000
mul,16,45,0.000000,0.000000,1.000000
mul,32,45,0.000000,0.000000,1.000000
rod,2,44,0.431818,0.340909,0.613636
rod,4,44,0.386364,0.000000,0.931818
rod,8,45,0.000000,0.000000,1.000000
rod,16,44,0.000000,0.000000,1.000000
rod,32,44,0.000000,0.000000,1.000000
sub,2,44,0.977273,0.977273,1.000000
sub,4,44,0.954545,0.909091,1.000000
sub,8,44,0.795455,0.795455,1.000000
sub,16,44,0.295455,0.318182,1.000000
sub,32,46,0.021739,0.195652,1.000000
