kind,digits,N,acc_nl,acc_code,acc_exec
add,2,45,0.955556,1.000000,1.000000
add,4,45,0.533333,0.955556,1.000000
add,8,44,0.522727,0.772727,1.000000
add,16,46,0.086957,0.260870,0.978261
add,32,44,0.045455,0.181818,1.000000
ilp_assign,2,44,0.431818,0.340909,1.000000
ilp_assign,4,45,0.088889,0.022222,1.000000
ilp_assign,8,44,0.000000,0.022727,1.000000
ilp_assign,16,45,0.000000,0.000000,1.000000
ilp_assign,32,44,0.000000,0.000000,0.931818
ilp_partition,2,44,0.295455,0.227273,0.659091
ilp_partition,4,44,0.159091,0.068182,0.431818
ilp_partition,8,44,0.522727,0.113636,0.136364
ilp_partition,16,46,0.456522,0.086957,0.804348
ilp_partition,32,44,0.386364,0.318182,0.931818
ilp_prod,2,44,0.090909,0.204545,0.204545
ilp_prod,4,46,0.021739,0.021739,0.021739
ilp_prod,8,45,0.022222,0.000000,0.266667
ilp_prod,16,44,0.000000,0.022727,0.136364
ilp_prod,32,44,0.000000,0.022727,0.022727
knap,2,44,0.204545,0.000000,1.000000
knap,4,46,0.152174,0.000000,1.000000
knap,8,46,0.043478,0.000000,1.000000
knap,16,44,0.000000,0.000000,1.000000
knap,32,44,0.000000,0.000000,1.000000
lcs,2,44,0.954545,0.363636,1.000000
lcs,4,44,0.431818,0.022727,1.000000
lcs,8,44,0.500000,0.136364,1.000000
lcs,16,45,0.066667,0.022222,1.000000
lcs,32,44,0.000000,0.000000,1.000000
mul,2,44,0.545455,0.659091,1.000000
mul,4,44,0.000000,0.000000,1.000000
mul,8,45,0.000000,0.000000,1.000000
mul,16,44,0.000000,0.000000,1.000000
mul,32,44,0.000000,0.000000,1.000000
rod,2,44,0.386364,0.204545,0.681818
rod,4,44,0.500000,0.000000,0.954545
rod,8,45,0.000000,0.000000,1.000000
rod,16,44,0.000000,0.000000,1.000000
rod,32,45,0.000000,0.000000,1.000000
sub,2,44,0.977273,1.000000,1.000000
sub,4,44,0.840909,0.818182,1.000000
sub,8,44,0.613636,0.772727,1.000000
sub,16,45,0.311111,0.422222,1.000000
sub,32,44,0.045455,0.113636,1.000000
