idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,mul,8,869208350739115,86696869826665,0,86999999999991665,0,"{'ok': True, 'value': 869208350739115, 'stdout': '869208350739115\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1295621395111084}",1,Compute: 12456355 * 69780313
1,ilp_partition,2,2,6,0,2,1,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07893729209899902}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [6, 4, 2, 2]"
2,ilp_partition,2,1,5,0,1,1,"{'ok': True, 'value': 1, 'stdout': '1\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09190917015075684}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [6, 1, 2, 2]"
3,rod,2,8,8,1,6,0,"{'ok': True, 'value': 8, 'stdout': '8\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08119630813598633}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [4, 2]"
4,mul,32,1974273442988770645481568389591607485206140596767515232972981392,,0,3,0,"{'ok': True, 'value': 1974273442988770645481568389591607485206140596767515232972981392, 'stdout': '1974273442988770645481568389591607485206140596767515232972981392\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07935357093811035}",1,Compute: 40040792927378917879434480352944 * 49306552109731338620698920889243
5,add,32,125604545277261562389014136655113,90913445277261562388914136655113,0,125604545277261562389014136655113,1,"{'ok': True, 'value': 125604545277261562389014136655113, 'stdout': '125604545277261562389014136655113\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10701727867126465}",1,Compute: 87058922990621400841851694887097 + 38545622286640161547162441768016
6,ilp_prod,8,137,Cannot be determined without a linear programming solver.,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_lk01qigj/main.py"", line 7, in <module>\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, cat=\'Integer\')\nNameError: name \'profit\' is not defined\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.37464404106140137}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [21, 22, 4, 23]
consumption (rows=resources) = [[7, 1, 2, 1], [2, 3, 6, 4], [8, 7, 2, 3], [7, 8, 5, 2]]
capacity = [32, 23, 22, 21]
upper_bounds = [3, 3, 3, 5]"
7,lcs,16,9,6,0,8,0,"{'ok': True, 'value': 9, 'stdout': '9\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08674097061157227}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""dbcbddaacddccabb""
T = ""caddbaaaadadbca"""
8,sub,32,43285291119490097820512520027731,57672291119490107820512520027731,0,57672291019490097820512520027731,0,"{'ok': True, 'value': 43285291119490097820512520027731, 'stdout': '43285291119490097820512520027731\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10185456275939941}",1,Compute: 59270993429687410087260574857400 - 15985702310197312266748054829669
9,knap,4,27,14,0,22,0,"{'ok': True, 'value': 27, 'stdout': '27\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09059572219848633}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [6, 7, 8, 6]
V = [11, 3, 15, 16]
C = 13"
10,ilp_partition,2,0,2,0,2,0,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09245014190673828}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [1, 2, 2, 3]"
11,mul,16,15984415276384606203864151449594,1590899767776744772648369244,0,25389578,0,"{'ok': True, 'value': 15984415276384606203864151449594, 'stdout': '15984415276384606203864151449594\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09406757354736328}",1,Compute: 2538957859208082 * 6295659937172117
12,lcs,32,18,,0,22,0,"{'ok': True, 'value': 18, 'stdout': '18\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09006619453430176}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cadddcaaccddcddbaddbdddabccdccbb""
T = ""cbcabbdbacbbcbadabbddddbdcadccdc"""
