kind,digits,N,acc_nl,acc_code,acc_exec
add,2,23,0.956522,1.000000,1.000000
add,4,22,0.500000,0.909091,1.000000
add,8,22,0.863636,0.909091,1.000000
add,16,22,0.363636,0.681818,1.000000
add,32,22,0.045455,0.181818,1.000000
ilp_assign,2,22,0.590909,0.181818,0.090909
ilp_assign,4,22,0.045455,0.000000,0.045455
ilp_assign,8,23,0.043478,0.043478,0.521739
ilp_assign,16,23,0.000000,0.000000,0.478261
ilp_assign,32,22,0.000000,0.000000,0.272727
ilp_partition,2,22,0.409091,0.318182,1.000000
ilp_partition,4,22,0.227273,0.181818,1.000000
ilp_partition,8,22,0.454545,0.227273,0.954545
ilp_partition,16,22,0.500000,0.136364,0.909091
ilp_partition,32,22,0.363636,0.272727,0.681818
ilp_prod,2,23,0.043478,0.260870,0.000000
ilp_prod,4,22,0.000000,0.000000,0.000000
ilp_prod,8,22,0.000000,0.045455,0.409091
ilp_prod,16,22,0.000000,0.000000,0.136364
ilp_prod,32,22,0.000000,0.000000,0.181818
knap,2,22,0.136364,0.409091,1.000000
knap,4,22,0.227273,0.090909,1.000000
knap,8,22,0.000000,0.000000,1.000000
knap,16,22,0.000000,0.000000,1.000000
knap,32,22,0.000000,0.000000,1.000000
lcs,2,23,0.739130,0.826087,1.000000
lcs,4,23,0.434783,0.608696,1.000000
lcs,8,22,0.363636,0.363636,1.000000
lcs,16,22,0.136364,0.136364,1.000000
lcs,32,23,0.043478,0.043478,1.000000
mul,2,22,0.454545,0.590909,1.000000
mul,4,22,0.000000,0.000000,1.000000
mul,8,22,0.000000,0.000000,1.000000
mul,16,23,0.000000,0.000000,0.652174
mul,32,23,0.000000,0.000000,0.956522
rod,2,22,0.318182,0.227273,0.000000
rod,4,22,0.045455,0.045455,0.818182
rod,8,22,0.000000,0.000000,0.954545
rod,16,22,0.000000,0.045455,0.909091
rod,32,22,0.000000,0.000000,0.954545
sub,2,22,0.863636,1.000000,1.000000
sub,4,22,1.000000,1.000000,1.000000
sub,8,22,0.727273,0.863636,1.000000
sub,16,23,0.608696,0.695652,1.000000
sub,32,22,0.136364,0.272727,1.000000
