kind,digits,N,acc_nl,acc_code,acc_exec
add,2,22,0.863636,1.000000,1.000000
add,4,22,0.681818,1.000000,1.000000
add,8,22,0.818182,0.909091,1.000000
add,16,22,0.409091,0.772727,1.000000
add,32,22,0.045455,0.272727,1.000000
ilp_assign,2,23,0.608696,0.217391,0.086957
ilp_assign,4,22,0.000000,0.000000,0.272727
ilp_assign,8,22,0.000000,0.000000,0.772727
ilp_assign,16,22,0.000000,0.000000,0.909091
ilp_assign,32,23,0.000000,0.000000,0.956522
ilp_partition,2,22,0.227273,0.409091,1.000000
ilp_partition,4,23,0.173913,0.347826,1.000000
ilp_partition,8,22,0.454545,0.409091,0.954545
ilp_partition,16,22,0.454545,0.136364,0.727273
ilp_partition,32,22,0.227273,0.227273,0.909091
ilp_prod,2,23,0.000000,0.086957,0.000000
ilp_prod,4,22,0.045455,0.045455,0.000000
ilp_prod,8,22,0.000000,0.000000,0.090909
ilp_prod,16,22,0.000000,0.000000,0.181818
ilp_prod,32,22,0.000000,0.000000,0.318182
knap,2,22,0.181818,0.272727,1.000000
knap,4,22,0.272727,0.181818,1.000000
knap,8,22,0.090909,0.000000,1.000000
knap,16,22,0.000000,0.000000,1.000000
knap,32,22,0.000000,0.000000,1.000000
lcs,2,22,0.818182,0.681818,1.000000
lcs,4,22,0.545455,0.590909,1.000000
lcs,8,22,0.545455,0.181818,1.000000
lcs,16,22,0.090909,0.181818,1.000000
lcs,32,22,0.090909,0.045455,1.000000
mul,2,22,0.500000,0.727273,1.000000
mul,4,22,0.000000,0.000000,1.000000
mul,8,23,0.000000,0.000000,1.000000
mul,16,22,0.000000,0.000000,0.909091
mul,32,23,0.000000,0.000000,0.956522
rod,2,23,0.521739,0.434783,0.260870
rod,4,23,0.043478,0.086957,0.913043
rod,8,22,0.000000,0.000000,0.954545
rod,16,23,0.000000,0.000000,0.521739
rod,32,22,0.000000,0.000000,0.909091
sub,2,22,0.863636,1.000000,1.000000
sub,4,22,0.954545,0.954545,1.000000
sub,8,22,0.863636,0.818182,1.000000
sub,16,23,0.434783,0.739130,1.000000
sub,32,22,0.136364,0.318182,1.000000
